Model,MAE,RMSE,R2 Score
Linear Regression,6.063962178449628,7.626486287580982,0.351086937009917
Random Forest,3.7704629518318975,5.376729698141965,0.6774671625563926
Gradient Boosting,4.606714252338492,6.01248787390357,0.5966835309760282
